,minimal,modern,natural,romantic,casual,vintage,individuality,useful
ENFP,2.352,3.18,1.65,2.43,2.1775,1.7850000000000001,1.0787000000000002,1.8
ENTJ,3.22,1.59,1.56,1.3650000000000002,2.01,0.66,0.705,3.724
INFP,1.575,1.76,1.8479999999999996,2.7772,2.0,4.9552000000000005,2.79,1.7999999999999998
INTJ,3.975,3.08,1.04,0.615,2.75,2.088,1.6800000000000002,4.875
INTJ,3.975,3.08,1.04,0.8200000000000001,1.375,1.392,1.2600000000000002,3.4125000000000005
ISFP,3.0,1.8800000000000001,2.3,3.6540000000000004,1.6500000000000001,3.9195000000000007,3.0654000000000003,1.35
ISFP,2.625,1.8800000000000001,1.38,1.624,0.495,2.1775,0.6812,0.9000000000000001
ISTJ,0.8236000000000001,0.4700000000000001,1.066,0.5060000000000001,0.33,0.49000000000000005,0.32000000000000006,0.6
ISTJ,2.4708000000000006,1.8800000000000003,1.066,0.5060000000000001,0.495,0.9800000000000001,0.32000000000000006,1.7999999999999998
ISFJ,3.48104,3.92,1.9500000000000002,1.8810000000000002,0.96,1.7399999999999998,0.8000000000000002,1.75
ENFJ,2.0250000000000004,4.340000000000001,3.12,3.0104,2.552,1.8900000000000001,2.1149999999999998,2.0250000000000004
INTP,2.265,1.2600000000000002,0.9899999999999999,0.8400000000000001,2.3600000000000003,1.34,1.612,4.199999999999999
INTP,2.265,0.8400000000000001,1.3199999999999998,1.6800000000000002,1.7700000000000002,1.675,2.418,3.1499999999999995
INTP,3.02,1.6800000000000002,1.65,2.1,2.3600000000000003,3.015,1.612,4.725
ISTP,4.51,1.9000000000000004,0.9199999999999999,0.9165000000000001,0.6300000000000001,1.7400000000000002,0.52,2.1175
ISTP,3.608,1.9000000000000004,1.8399999999999999,1.8330000000000002,1.2600000000000002,2.088,0.78,2.7225000000000006
ISTP,4.51,1.9000000000000004,2.3,3.0550000000000006,1.05,2.7840000000000003,1.3,2.4200000000000004
ESTJ,3.5420000000000007,3.3600000000000003,2.9835000000000003,1.645,1.25,0.72,0.37,2.475
ESTJ,2.6565000000000003,2.016,1.989,0.9400000000000001,2.0,0.72,1.48,1.9250000000000003
