real_mbti,minimal,modern,natural,romantic,casual,vintage,individuality,useful
INTP,5.0,5,3,3.5,3.0,3.0,2.5,4.0
INFP,4.0,5,3,2.0,4.0,1.5,2.5,4.5
ISTP,4.0,5,3,2.0,4.0,1.0,2.5,4.5
INFJ,5.0,5,4,2.5,2.5,1.0,1.5,4.0
ESTP,4.5,5,4,3.0,2.5,1.0,1.5,4.0
ENTJ,3.5,5,2,2.0,2.5,2.0,1.0,4.5
ESFJ,3.5,4,4,3.0,3.5,2.5,2.0,4.0
ENFJ,4.5,5,4,3.0,3.0,1.5,1.5,4.5
INTP,5.0,5,1,1.0,1.0,1.0,1.0,3.0
ESFP,5.0,5,1,1.0,3.0,1.5,2.5,3.5
ISFJ,3.5,4,4,3.5,4.0,3.5,3.0,4.0
ESTJ,3.0,5,5,3.0,1.0,3.0,1.0,3.0
ENFP,4.5,4,4,3.0,1.5,2.0,1.0,3.0
ENTP,5.0,5,4,3.5,4.5,4.0,4.0,4.5
ESFP,4.0,4,2,2.0,2.5,2.0,1.5,3.5
ENTJ,4.5,4,3,2.5,3.5,3.5,3.5,3.5
INTP,4.5,5,3,2.5,2.5,3.5,2.0,3.5
ENTP,4.0,3,3,4.0,4.5,4.5,4.5,3.5
ESFP,3.0,3,5,3.5,4.0,3.5,2.5,3.5
INFJ,4.0,4,2,1.5,3.0,5.0,1.0,4.5
ISFP,2.5,2,1,1.0,3.0,3.0,5.0,1.5
INTP,5.0,5,5,4.0,3.5,4.5,2.5,4.5
ENFP,4.0,3,5,4.0,2.5,5.0,1.0,3.5
ESFJ,5.0,5,1,1.0,2.5,1.0,1.0,4.5
ESTP,3.5,3,4,3.0,2.5,4.5,1.0,3.5
ENFJ,4.0,5,2,2.0,3.0,2.5,2.5,4.0
ENFP,4.0,5,3,2.0,1.0,1.0,1.0,3.0
ESTJ,4.0,4,3,2.0,3.5,4.0,2.0,4.0
INTJ,4.5,4,4,3.5,3.0,3.5,2.0,3.5
ENFP,4.0,5,5,4.5,3.5,4.0,2.0,5.0
ISTJ,5.0,5,3,2.5,2.0,3.0,3.0,3.0
